,Academic Reputation,Citations Per Paper,Employer Reputation,H-Index Citations,Name,Overall Score,Rank,URL
238,52.3,76.8,59,62.3,University of Calgary,,201-250,https://www.topuniversities.com/universities/university-calgary
239,56.2,78,51.8,65.7,"University of California, Irvine",,201-250,https://www.topuniversities.com/universities/university-california-irvine
240,48.6,79.6,58.5,73.1,University of Houston,,201-250,https://www.topuniversities.com/universities/university-houston
241,63.7,65.3,62.1,57.2,"University of Illinois, Chicago (UIC)",,201-250,https://www.topuniversities.com/universities/university-illinois-chicago-uic
242,49.5,77.4,65.2,72.2,University of Lisbon ,,201-250,https://www.topuniversities.com/universities/university-lisbon
243,56.9,86.4,44.9,79,University of Pittsburgh,,201-250,https://www.topuniversities.com/universities/university-pittsburgh
244,56.2,73.7,59.5,71.4,University of Strathclyde,,201-250,https://www.topuniversities.com/universities/university-strathclyde
245,45.5,79.7,60,75.4,"The University of Tennessee, Knoxville",,201-250,https://www.topuniversities.com/universities/university-tennessee-knoxville
246,52.9,71,67.9,63.5,University of Tsukuba,,201-250,https://www.topuniversities.com/universities/university-tsukuba
247,53.5,79.9,52,70.5,Vanderbilt University,,201-250,https://www.topuniversities.com/universities/vanderbilt-university
248,53,76.1,65.6,62.3,The University of Western Ontario,,201-250,https://www.topuniversities.com/universities/university-western-ontario
249,61.2,60.2,64.5,52.7,Yokohama National University,,201-250,https://www.topuniversities.com/universities/yokohama-national-university
250,44.8,79.3,62.3,70.5,Anna University,,251-300,https://www.topuniversities.com/universities/anna-university
251,49.7,76.3,57.9,66.7,Aristotle University of Thessaloniki,,251-300,https://www.topuniversities.com/universities/aristotle-university-thessaloniki
252,64.6,51.1,65.4,40.8,Bandung Institute of Technology (ITB),,251-300,https://www.topuniversities.com/universities/bandung-institute-technology-itb
253,55.9,72.4,55,63.5,Brigham Young University,,251-300,https://www.topuniversities.com/universities/brigham-young-university
254,54.6,61.5,63.7,54.3,Brno University of Technology,,251-300,https://www.topuniversities.com/universities/brno-university-technology
255,50.2,75.4,57.4,68.7,Brunel University London,,251-300,https://www.topuniversities.com/universities/brunel-university-london
256,57,69.7,56.5,57.2,Budapest University of Technology and Economics,,251-300,https://www.topuniversities.com/universities/budapest-university-technology-economics
257,50.5,65.4,62.8,57.2,Cairo University,,251-300,https://www.topuniversities.com/universities/cairo-university
258,56.9,78.6,49.6,64.6,Case Western Reserve University,,251-300,https://www.topuniversities.com/universities/case-western-reserve-university
259,39.6,73.9,61.9,77.6,Chongqing University,,251-300,https://www.topuniversities.com/universities/chongqing-university
260,49.5,77.3,55.8,68.7,Chonnam National University,,251-300,https://www.topuniversities.com/universities/chonnam-national-university
261,44.4,68.4,71,57.2,Chung-Ang University (CAU),,251-300,https://www.topuniversities.com/universities/chung-ang-university-cau
262,53.3,71.6,56.2,62.3,Colorado School of Mines,,251-300,https://www.topuniversities.com/universities/colorado-school-mines
263,50.5,68.3,64.6,54.3,Durham University,,251-300,https://www.topuniversities.com/universities/durham-university
264,53.5,69.3,58.1,61.1,Institut polytechnique de Grenoble - Grenoble Institute of Technology,,251-300,https://www.topuniversities.com/universities/institut-polytechnique-de-grenoble-grenoble-institute-technology
265,41.7,81.3,64,70.5,Inha University,,251-300,https://www.topuniversities.com/universities/inha-university
266,54.2,80.1,48.5,73.9,Iowa State University,,251-300,https://www.topuniversities.com/universities/iowa-state-university
267,41.6,75.7,65.5,78.3,Jilin University,,251-300,https://www.topuniversities.com/universities/jilin-university
268,57.8,59.2,69.9,43.1,Kobe University,,251-300,https://www.topuniversities.com/universities/kobe-university
269,47.1,69.7,70,58.6,"Mines, ParisTech",,251-300,https://www.topuniversities.com/universities/mines-paristech
270,45.4,71.1,66.8,58.6,National University of Ireland Galway,,251-300,https://www.topuniversities.com/universities/national-university-ireland-galway
271,51,74.8,56.8,65.7,Northeastern University,,251-300,https://www.topuniversities.com/universities/northeastern-university
